OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2026-06-25T04:30:07.020000,15.49415960,.0004409,51.6326,260.4913,228.8642,131.1966,0,U,25544,999,57299,.17725E-3,.947E-4,0
SWAS,1998-071A,2026-06-25T03:58:30.743904,15.09660889,.0008785,69.8945,206.9431,251.7160,108.3049,0,U,25560,999,49847,.17183E-3,.2669E-4,0
ISS (UNITY),1998-069F,2026-06-25T04:30:07.020000,15.49415960,.0004409,51.6326,260.4913,228.8642,131.1966,0,U,25575,999,53669,.17725E-3,.947E-4,0
DLR-TUBSAT,1999-029B,2026-06-25T05:10:45.405120,14.52428603,.0013575,98.6696,171.9841,330.1274,29.9145,0,U,25757,999,43441,.33581E-4,.88E-6,0
CXO,1999-040B,2026-06-26T07:28:02.155584,0.37800874,.78186452,56.2784,116.4107,310.1913,0.3296,0,U,25867,999,1735,0,.484E-5,0
ABS-6,1999-053A,2026-06-24T05:10:38.394624,1.00269854,.00036763,0.0345,284.4349,173.0958,51.5304,0,U,25924,999,9791,0,-.112E-5,0
NAVSTAR 46 (USA 145),1999-055A,2026-06-22T19:59:21.454944,2.00562000,.01065974,51.4579,295.2217,175.9284,222.6463,0,U,25933,999,19569,0,-.99E-6,0
UFO 10 (USA 146),1999-063A,2026-06-24T21:05:28.661280,1.00269529,.0001567,9.8385,27.1711,64.6968,114.5412,0,U,25967,999,9742,0,-.189E-5,0
ORBCOMM FM32,1999-065C,2026-06-24T22:29:29.418720,14.37139190,.0004262,45.0137,136.5551,80.4655,279.6675,0,U,25982,999,38820,.23221E-3,.554E-5,0
XMM-NEWTON,1999-066A,2026-06-26T07:47:46.821408,0.50127949,.46710495,64.4359,282.8679,64.7288,0.1080,0,U,25989,999,2304,0,.6E-7,0
